run_id,coverage,time_s,total_lines
50,75,0.5279,145
100,75,1.0569,145
150,75,1.5955,145
200,75,2.1235,145
250,75,2.6508,145
300,75,3.1802,145
350,75,3.7109,145
400,75,4.2389,145
450,75,4.7676,145
500,75,5.3069,145
550,75,5.835,145
600,75,6.364,145
650,75,6.8928,145
700,75,7.4227,145
750,75,7.9514,145
800,75,8.4802,145
850,75,9.017,145
900,75,9.5456,145
950,75,10.0736,145
1000,75,10.602,145
1050,75,11.1298,145
1100,75,11.658,145
1150,75,12.1893,145
1200,75,12.7173,145
1250,75,13.2462,145
1300,75,13.775,145
1350,75,14.3028,145
1400,75,14.8315,145
1450,75,15.3587,145
1500,75,15.8872,145
1550,75,16.4148,145
1600,75,16.9428,145
1650,75,17.482,145
1700,75,18.0107,145
1750,75,18.5509,145
1800,75,19.0915,145
1850,75,19.6218,145
1900,75,20.1515,145
1950,76,20.6815,145
2000,76,21.2111,145
2050,76,21.7401,145
2100,76,22.28,145
2150,76,22.8119,145
2200,76,23.3413,145
2250,76,23.8693,145
2300,76,24.3971,145
2350,77,24.9344,145
2400,77,25.4623,145
2450,77,25.9899,145
2500,77,26.5181,145
2550,77,27.0474,145
2600,77,27.5765,145
2650,77,28.1048,145
2700,77,28.6321,145
2750,77,29.1603,145
2800,77,29.6869,145
2850,77,30.2144,145
2900,77,30.7443,145
2950,77,31.2739,145
3000,77,31.815,145
3050,77,32.344,145
3100,77,32.8734,145
3150,77,33.4012,145
3200,77,33.9409,145
3250,77,34.4688,145
3300,77,34.996,145
3350,77,35.524,145
3400,77,36.0528,145
3450,77,36.5809,145
3500,77,37.1095,145
3550,77,37.639,145
3600,77,38.1676,145
3650,77,38.6963,145
3700,77,39.2251,145
3750,77,39.7536,145
3800,77,40.2824,145
3850,77,40.8218,145
3900,77,41.3509,145
3950,77,41.8801,145
4000,77,42.4095,145
4050,77,42.9489,145
4100,77,43.478,145
4150,77,44.0068,145
4200,77,44.5361,145
4250,77,45.0657,145
4300,78,45.596,145
4350,78,46.125,145
4400,78,46.6658,145
4450,78,47.1977,145
4500,78,47.7284,145
4550,78,48.2583,145
4600,78,48.7885,145
4650,78,49.3178,145
4700,78,49.8575,145
4750,78,50.3866,145
4800,78,50.916,145
4850,78,51.4467,145
4900,78,51.9771,145
4950,78,52.5063,145
5000,78,53.0372,145
5050,78,53.5663,145
5100,78,54.0969,145
5150,78,54.6265,145
5200,78,55.1559,145
5250,78,55.6853,145
5300,78,56.2153,145
5350,78,56.7438,145
5400,78,57.2741,145
5450,78,57.8135,145
5500,78,58.3417,145
5550,78,58.8701,145
5600,78,59.4001,145
5650,78,59.9288,145
5700,78,60.4591,145
5750,78,60.9884,145
5800,78,61.5181,145
5850,78,62.0477,145
5900,78,62.5766,145
5950,78,63.1049,145
6000,78,63.6442,145
6050,78,64.1731,145
6100,78,64.7014,145
6150,78,65.23,145
6200,78,65.7579,145
6250,78,66.2863,145
6300,78,66.815,145
6350,78,67.3432,145
6400,78,67.8761,145
6450,78,68.4037,145
6500,78,68.9336,145
6550,78,69.4624,145
6600,78,69.9921,145
6650,78,70.5208,145
6700,78,71.0506,145
6750,78,71.579,145
6800,78,72.1101,145
6850,78,72.6394,145
6900,78,73.1694,145
6950,78,73.6988,145
7000,78,74.228,145
7050,78,74.7566,145
7100,78,75.2859,145
7150,78,75.8156,145
7200,78,76.3459,145
7250,78,76.8752,145
7300,78,77.4045,145
7350,78,77.9344,145
7400,78,78.4635,145
7450,78,78.9915,145
7500,78,79.5204,145
7550,78,80.0492,145
7600,78,80.5786,145
7650,78,81.108,145
7700,78,81.6374,145
7750,78,82.1773,145
7800,78,82.7073,145
7850,78,83.2582,145
7900,78,83.7872,145
7950,78,84.3168,145
8000,78,84.8458,145
8050,78,85.3736,145
8100,78,85.9028,145
8150,78,86.4318,145
8200,78,86.961,145
8250,78,87.4998,145
8300,78,88.0302,145
8350,78,88.5593,145
8400,78,89.0891,145
8450,78,89.6199,145
8500,78,90.1502,145
8550,78,90.6797,145
8600,78,91.2091,145
8650,78,91.7383,145
8700,78,92.2679,145
8750,78,92.7959,145
8800,78,93.3354,145
8850,78,93.8643,145
8900,78,94.3929,145
8950,78,94.9215,145
9000,78,95.4513,145
9050,78,95.9919,145
9100,78,96.5216,145
9150,78,97.0505,145
9200,78,97.5802,145
9250,78,98.1101,145
9300,78,98.6389,145
9350,78,99.1691,145
9400,78,99.6983,145
9450,78,100.2279,145
9500,78,100.7571,145
9550,78,101.2864,145
9600,78,101.8159,145
9650,78,102.3443,145
9700,78,102.8736,145
9750,78,103.4031,145
9800,78,103.9349,145
9850,78,104.4661,145
9900,78,104.9953,145
9950,78,105.5249,145
10000,78,106.0553,145
10050,78,106.5854,145
10100,78,107.1144,145
10150,78,107.6441,145
10200,78,108.1763,145
10250,78,108.7053,145
10300,78,109.2339,145
10350,78,109.7629,145
10400,78,110.3046,145
10450,78,110.8344,145
10500,78,111.3628,145
10550,78,111.8902,145
10600,78,112.4181,145
10650,78,112.958,145
10700,78,113.4892,145
10750,78,114.0189,145
10800,78,114.5485,145
10850,78,115.0774,145
10900,78,115.6058,145
10950,78,116.1357,145
11000,78,116.6645,145
11050,78,117.1937,145
11100,78,117.7231,145
11150,78,118.2523,145
11200,78,118.7819,145
11250,78,119.312,145
11300,78,119.8412,145
11350,78,120.371,145
11400,78,120.8994,145
11450,78,121.4272,145
11500,78,121.9564,145
11550,78,122.4863,145
11600,78,123.0265,145
